location_name,latitude,longitude,distance,feature_type,temperature,humidity,wind_speed,wind_deg,dt,main.aqi,components.co,components.no,components.no2,components.o3,components.so2,components.pm2_5,components.pm10,components.nh3
,17.736833,83.3077425,10967.124905563544,traffic_signals,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7379354,83.3048067,10763.104762062938,traffic_signals,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7474866,83.2465265,7345.120850221822,traffic_signals,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.6852321,83.2035381,1596.7775802298145,traffic_signals,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Sri Ramalingeswara Swamy Temple,17.8017458,83.364524,20042.158763630243,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
"Satyam Residency, Carshed, Visakhapatnam",17.8056561,83.3567023,19694.58499542936,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
,17.7433179,83.3152552,12019.19582755992,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Seethammadhara,17.7435478,83.3156935,12072.132489904918,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Seethammadhara,17.7433179,83.3144918,11950.124147764403,bus_stop,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Indian Oil,17.7402842,83.3133993,11677.87854761473,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
Infant Jesus,17.7413062,83.3145154,11837.302292748202,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
More,17.7436406,83.3163851,12140.15971360765,,24.63,73.0,3.1,214.0,1772474735.0,4.0,207.87,0.0,1.84,89.92,1.93,56.99,72.39,0.63
